Part Name,,,Quantity,Link,,,,,,,Cost
M3 Heat-Set Inserts,,,12,https://www.mcmaster.com/94459A421/,,,,,,,5.48
6mm ID 16mm OD 4mm Thick Bearing,,,1,https://www.servocity.com/1600-series-non-flanged-ball-bearing-6mm-id-x-16mm-od-4mm-thickness-2-pack/,,,,,,,7.98
"0.375"" ID x 0.875"" OD x 0.281"" WD (Radial Bearing)",,,3,https://wcproducts.com/products/WCP-0776,,,,,,,5.97
"3"" ID x 3.5"" OD x .25"" WD (X-Contact Bearing)",,,1,https://wcproducts.com/products/WCP-0357,,,,,,,29.99
LA8308 90KV,,,1,https://www.aliexpress.us/item/3256806021279644.html,,,,,,,76.56
ODrive S1,,,1,https://shop.odriverobotics.com/products/odrive-s1,,,,,,,149
M5 Locknuts,,,4,https://www.mcmaster.com/90576A813/,,,,,,,11.12
M5 x 65mm SH,,,4,https://www.mcmaster.com/91290A270/,,,,,,,8.73
M3 x 10mm FH,,,3,https://www.mcmaster.com/91294A130/,,,,,,,6.36
M3 x 8mm BH,,,4,https://www.mcmaster.com/92095A181/,,,,,,,8.8
M3 x 6mm BH,,,4,https://www.mcmaster.com/92095A179/,,,,,,,6.41
,,,,,,,,,,Total:,316.4